coffee_id,name,roaster,origin_country,region,producer,farm,process,variety,roast_level,tasting_notes,description,price,currency,weight_g,brew_methods,source_url,source_file,price_per_kg
pink-bourbon-colombia-wilton-benitez-721de7e41aa0,PINK BOURBON² Colombia — Wilton Benitez,,Colombia,,Wilton Benitez,,unknown,['pink bourbon'],unknown,"['passionfruit nectar', 'rose lemonade', 'silky body']","PINK BOURBON² Colombia — Wilton Benitez Origin - Colombia, Cauca Variety - Pink Bourbon Producer - Wilton Benitez Process Method - 'Advanced' Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Wilton Benitez is a producer obsessed with precision. A lifetime of experience, paired with deep dives into fermentation tech from wine, beer, and cheese, shaped his approach to coffee. By controlling variables like sugar content, pH, and fermentation time — and selecting specific microorganisms for each stage — Wilton pushes flavour to new heights. One final step, a hot and cold water soak, locks in the coffee’s character. The result: coffees with clarity, depth, and a signature profile that’s unmistakably Wilton. Flavour Notes: Passionfruit Nectar, Rose Lemonade, Silky Body Process: 1. Manual harvest. 2. Characterisation of the cherry. 3. Classification of the cherry by density and size. 4. Sterilisation of the cherry (with UV and Ozone). 5. Immersion of the fruits in water at 90ºC for a short period of time to achieve better sterilisation and open the pores of the fruits. 6. First phase of cherry fermentation begins in anaerobic bioreactors where a specific microorganism is added. 7. Once the first fermentation is finished, the shell of the fruits is removed and the grains are taken to other bioreactors for a second fermentation phase. 8. After the second phase of fermentation is completed, the grains are subjected to hot water impacts and then washed with cold water. 9. The washed coffee is taken to the ecological drying equipment where the drying curve is set up (40ºC for the initial 12 hours and35ºC for the next 24 hours). AMOC Coffees are beautifully displayed and delivered in a lightweight, fully recyclable PET jar. This jar can be reused as you wish! What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,[],,data/raw/sigmacoffee.co.uk_collections_single-origin_products_a-m-o-c-pink-bourbon-colombia-wilton-benitez.txt,
costa-rica-sustainable-profile-coffee-7d1021c2608c,Costa Rica - Sustainable Profile Coffee,,Costa Rica,,,,washed,['caturra & catuai'],medium,"['milk chocolate', 'brown sugar & red cherries']","Costa Rica - Sustainable Profile Coffee Origin - Costa Rica, Volcan Azul Variety - Caturra & Catuai Roast - Medium Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - In Stock! Description A gorgeous blend of Catuai and Caturra from producer Alejo Castro in Costa Rica. This house blend by April is roasted medium to accentuate classical sweetness and body with balanced acidity layered into the brew. This roast is easy to pull as espresso or brewed as a filter. Flavor Notes: Milk Chocolate, Brown Sugar & Red Cherries Sweetness: ●●●○○ Body: ●●●○○ Acidity: ●●●○○ What is the Sustainable Profile Project? The 'House Coffee' series by April, also known as their 'Sustainable Profile' Coffee. The idea is to grow together with partner producers that April already purchase smaller lots from. Importantly, the farmer sets the price they want for the green coffee based on their own valuation, giving them a more predictable revenue structure. This symbiotic relationship between the farmer and April means the farmer gets a consistent and predictable income, and April get consistent and predictable coffee all-year round. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_april-costa-rica-sustainable-profile-coffee.txt,
el-morito-guatemala-washed-pacamara-24a6e5c537cb,El Morito - Guatemala - Washed Pacamara,,Guatamala,,El Morito,,washed,['pacamara'],unknown,"['red berries', 'grapefruit', 'lime']","El Morito - Guatemala - Washed Pacamara £14.95 ( / ) Origin - Guatamala, Jalapa department Variety - Pacamara Producer - El Morito Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Flavour Notes: Red Berries, Grapefruit, Lime Sweetness: ●●●○○ Body: ●●●○○ Acidity: ●●●●○ What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",14.95,GBP,,[],,data/raw/sigmacoffee.co.uk_collections_single-origin_products_april-el-morito-guatemala-washed-pacamara.txt,
el-socorro-guatamala-washed-gesha-581eb1307bf0,El Socorro - Guatamala - Washed Gesha,,Guatalama,,,,washed,['gesha'],unknown,"['nectarine', 'melon & jasmine']","El Socorro - Guatamala - Washed Gesha Origin - Guatalama, El Soccoro Variety - Gesha Roast - 'Filter' Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Pre-order for Next Roast (Oct 13/14th) Description This exceptional lot of Gesha is truly something special. It perfectly embodies April's love for clean, floral washed Geshas and stood out on the world stage, claiming 1st place at the 2023 Guatemalan Cup of Excellence with an impressive score of 91.13. Now in April's third season working with coffee from El Socorro, April lovingly welcome the team into the April Partner Farmer family. Flavour Notes: Nectarine, Melon & Jasmine Sweetness: ●●●○○ Body: ●●○○○ Acidity: ●●●●○ What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,[<BrewMethod.FILTER: 'filter'>],,data/raw/sigmacoffee.co.uk_collections_single-origin_products_april-el-socorro-guatamala-washed-gesha.txt,
hacienda-la-esmeralda-panama-natural-catuai-c6450fd31c22,Hacienda La Esmeralda - Panama- Natural Catuai,,Panama,,,,washed,['catuai'],unknown,"['tropical fruit', 'orange', 'nougat & biscuit']","Hacienda La Esmeralda - Panama- Natural Catuai Origin - Panama, Hacienda La Esmeralda Variety - Catuai Roast - Filter or Espresso Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description From the heralded Jaramillo farm by Hacienda La Esmeralda, this example of a naturally processed Catuai presents as a positively straight forward brew, with orange blossom, biscuit and nougat. A sessionable brew, one for all audiences without too much acidity, tempered sweetness and tactile body. Flavour Notes: Tropical Fruit, Orange, Nougat & Biscuit Sweetness: ●●●○○ Body: ●●●○○ Acidity: ●●●○○ What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_april-hacienda-la-esmeralda-panama-natural-catuai.txt,
kamavindi-kenya-washed-ab-729813ea4dca,Kamavindi - Kenya - Washed AB,,Kenya,,,,washed,"['sl28', 'sl34', 'ruiru 11', 'batian (ab)']",unknown,"['blackberries', 'red apple & florals']","Kamavindi - Kenya - Washed AB Origin - Kenya, Kamavindi Variety - SL28, SL34, Ruiru 11, Batian (AB) Roast - Choose Filter or Espresso Process Method - Washed Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description This washed Kenya from producer Peter Mbature of the Kamavindi Estate consists of a blend of SL28, 34, Ruiru 11 and Batian (AB). Roasted to be enjoyed as filter, what presents in the cup is reminiscent of a fruit forward tea infusion. With Red Apple and Blackberry as tasting notes, the aroma is also floral. Available in either Filter or Espresso roasts. Flavor notes: Blackberries, Red Apple & Florals Sweetness: ●●●○○ Body: ●●●○○ Acidity: ●●●●○ What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 8-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans.",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_april-kamavindi-kenya-washed-ab.txt,
gesha-luna-bermudez-finca-el-paraiso-155305daea75,"Gesha - Luna Bermudez, Finca El Paraiso",,Colombia,,Samuel Diego Bermudez (Luna Bermudez),,anaerobic,['gesha'],unknown,"['blueberry 🍓', 'egg waffle 🥞', 'high‑mountain oolong tea 🍵']","Gesha - Luna Bermudez, Finca El Paraiso Origin - Colombia, Cauca (El Paraiso) Variety - Gesha Roast - 'Espresso' or 'Filter' Process Method - Double fermentation Thermal Shock Roast Date (Standard 0-6 Weeks) - Roast Date (Rested) - Description Details: - Origin: Colombia — Finca El Paraiso, Cauca - Producer: Samuel Diego Bermudez (Luna Bermudez) - Varietal: Gesha - Process: Double Fermentation + Thermal Shock Washed — interleaved anaerobic cherry and pulped stages with a bespoke Gesha yeast culture, followed by thermal shock wash to lock in aromatics and clarity - Elevation: ~1,930 m above sea level - Roast: Medium Light - Bag Size: 114 g / 227 g - Tasting Notes: Blueberry 🍓 • Egg waffle 🥞 • High‑mountain oolong tea 🍵 Intro: Hydrangea is excited to present a refined expression of Gesha from Finca El Paraiso — Luna Bermudez, a lot that blends thoughtful processing with the expressive potential of one of coffee’s most revered varietals. This coffee highlights balanced fruit sweetness, silky texture, and aromatic clarity through a carefully tuned double fermentation and thermal shock approach. The Producer: This coffee is grown and processed by Samuel Diego Bermudez at Finca El Paraiso in Cauca, Colombia — a farm known for its precision and creativity in coffee cultivation and post‑harvest work. Samuel’s dedication to quality and experimental fermentation techniques has helped shape lots that deliver clarity, complexity, and depth, making this Gesha a standout in Hydrangea’s lineup. The Process: Luna Bermudez undergoes a two‑stage anaerobic fermentation using a custom Gesha yeast culture. First the cherries ferment whole, then they are pulped and sealed again to develop layered fruit complexity and floral aromatics. After fermentation, the coffee is thermal shock washed — a technique that stabilises flavour precursors, enhances clarity, and preserves delicate aromatics — before drying for an impeccably balanced profile. The Cup: Bright and refined, this Gesha delivers juicy blueberry 🍓 sweetness paired with a comforting egg waffle 🥞 nuance that adds gentle syrupy complexity. A subtle high‑mountain oolong tea 🍵 character brings a delicate herbal‑tea elegance, complementing the fruit profile with depth and a silky finish. The result is a layered, expressive cup that evolves beautifully from first sip to finish. Overall: This flavour bomb is a captivating and thoughtful brew that celebrates both varietal excellence and skilled processing. With its combination of fruit complexity, refined texture, and floral‑tea elegance, it offers an engaging and memorable experience — ideal for lovers of nuanced and expressive specialty coffee. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 1",,GBP,114.0,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_hydrangea-gesha-luna-bermudez-finca-el-paraiso.txt,
manhattan-roasters-brazil-inacio-soares-f2-bda2c333e03b,Manhattan Roasters - Brazil Inacio Soares F2,,Brazil,,,,anaerobic,"['red', 'yellow catuai']",unknown,"['white flowers', 'the sweet allure of praline', 'the deep richness of chocolate—all wrapped in a silky', 'creamy body']","Manhattan Roasters - Brazil Inacio Soares F2 Origin - Brazil, Mata de Minas Variety - Red and Yellow Catuai Roast - 'Espresso' or 'Filter' Process Method - Anaerobic Honey Description Delight in the delicate notes of white flowers, the sweet allure of praline, and the deep richness of chocolate—all wrapped in a silky, creamy body. A true reflection of the exceptional coffee from Fazenda Jairo Soares. Manhattan proud to work with Inacio, whose dedication to quality and innovation is evident in every sip. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. What does 'Filter' or 'Espresso' Roast mean? Typically filter is roasted lighter than espresso, though this is not always the case. Several factors play into what brands a Manhattan coffee as 'filter' or 'espresso', which includes the roast profile - i.e. how the beans are roasted, not just how developed a roast it is. It doesn't preclude you from using the beans for espresso though!",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_manhattan-roasters-brazil-inacio-soares-f2.txt,
manhattan-roasters-brazil-silvio-roberto-9a5585437784,Manhattan Roasters - Brazil Silvio Roberto,,Brazil,,,,anaerobic_natural,['red catuai 144'],unknown,"['passion fruit', 'delicate hints of rosehip', 'a smooth milk chocolate finish']","Manhattan Roasters - Brazil Silvio Roberto Origin - Brazil Variety - Red Catuai 144 Roast - 'Espresso' Process Method - Anaerobic Natural Description Silvio Roberto is a distinguished coffee producer from the Mata de Minas region in Brazil, actively participating in the innovative JS Project. This initiative, led by Inacio Soares, aims to revolutionize coffee processing techniques within the community. Silvio's dedication to quality is evident in this exceptional coffee, offering vibrant notes of passion fruit, delicate hints of rosehip, and a smooth milk chocolate finish. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. What does 'Filter' or 'Espresso' Roast mean? Typically filter is roasted lighter than espresso, though this is not always the case. Several factors play into what brands a Manhattan coffee as 'filter' or 'espresso', which includes the roast profile - i.e. how the beans are roasted, not just how developed a roast it is. It doesn't preclude you from using the beans for espresso though!",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_manhattan-roasters-brazil-silvio-roberto.txt,
manhattan-roasters-ombligon-colombia-nestor-lasso-939cd54bc714,"Manhattan Roasters - Ombligon - Colombia, Nestor Lasso",,Colombia,,,,natural,['ombligon'],unknown,['dr'],"Manhattan Roasters - Ombligon - Colombia, Nestor Lasso Origin - Colombia, El Diviso Variety - Ombligon Roast - 'Espresso' or 'Filter' Process Method - Natural In Stock! Description After harvest, the cherries are left to oxidise in open plastic tanks for 48 hours. During this stage, the cherry must—rich in sugars and aromatics—is continuously recirculated to intensify flavour development. The coffee is then immersed in cold water to remove any floaters, followed by a 50°C wash to induce thermal shock and enhance clarity. In the cup, expect vibrant notes of Dr. Pepper, Jolly Rancher, and vanilla, with a syrupy, lingering mouthfeel. What is the roast recency? We recommend brewing with beans that are at least two weeks off roast. All beans are roasted to peak flavour at around 6-12 weeks. We have the option to either purchase standard beans (at least 2 weeks but no longer than 6 weeks off roast), or rested beans (at least 7 weeks off roast, no longer than 12 - should we have any left in stock!). For peak flavour, if you are looking to use immediately, we recommend purchasing the rested beans. If you are adding to your rotation of beans, we recommend purchasing the standard and allowing the beans to naturally rest and mature whilst you rotate through other beans. What does 'Filter' or 'Espresso' Roast mean? Typically filter is roasted lighter than espresso, though this is not always the case. Several factors play into what brands a Manhattan coffee as 'filter' or 'espresso', which includes the roast profile - i.e. how the beans are roasted, not just how developed a roast it is. It doesn't preclude you from using the beans for espresso though!",,GBP,,"[<BrewMethod.ESPRESSO: 'espresso'>, <BrewMethod.FILTER: 'filter'>]",,data/raw/sigmacoffee.co.uk_collections_single-origin_products_manhattan-roasters-colombia-nestor-lasso.txt,
